,bnf_code,special_count,non_special_count,special_names,non_special_names
0,190203000BBAAA0,46,397,"Colocynthis 6c homeopathic tablets, Calcarea carbonica 6c homeopathic tablets, Coffea arabica 6c homeopathic tablets, Graphites 6c homeopathic tablets, Hepar sulfuris 6c homeopathic tablets, Ignatia amara 6c homeopathic tablets, Hypericum perforatum 6c homeopathic tablets, Euphrasia officinalis 6c homeopathic tablets, Carbo vegetabilis 6c homeopathic tablets, Aconitum napellus 6c homeopathic tablets, Actaea racemosa 6c homeopathic tablets, Argentum nitricum 6c homeopathic tablets, Allium cepa 6c homeopathic tablets, Arsenicum album 6c homeopathic tablets, Arnica montana 6c homeopathic tablets, Cuprum metallicum 6c homeopathic tablets, Bryonia alba 6c homeopathic tablets, Cuprum metallicum 30c homeopathic tablets, Cantharis vesicatoria 6c homeopathic tablets, Cina 6c homeopathic tablets, Hamamelis 6c homeopathic tablets, Belladonna 6c homeopathic tablets, Ferrum phosphoricum 6c homeopathic tablets, Apis mellifica 6c homeopathic tablets, Ipecacuanha 6c homeopathic tablets, Ipecacuanha 30c homeopathic tablets, Bellis perennis 6c homeopathic tablets, Iscador M 100micrograms/ml oral drops, Iscador M 10mg/ml oral drops, Iscador M 10micrograms/ml oral drops, Iscador M 1mg/ml oral drops, Iscador M 20mg/ml oral drops, Iscador M 30mg/ml oral drops, Iscador P 100micrograms/ml oral drops, Iscador P 10mg/ml oral drops, Iscador P 10micrograms/ml oral drops, Iscador P 1mg/ml oral drops, Iscador P 20mg/ml oral drops, Iscador P 30mg/ml oral drops, Iscador Qu 100micrograms/ml oral drops, Iscador Qu 10mg/ml oral drops, Iscador Qu 10micrograms/ml oral drops, Iscador Qu 1mg/ml oral drops, Iscador Qu 20mg/ml oral drops, Iscador Qu 30mg/ml oral drops, Iscador M c Hg 20mg/1ml solution for injection ampoules","Calcarea carbonica 30c homeopathic tablets, Calendula officinalis 0.9% cream, Drosera rotundifolia 30c homeopathic tablets, Arnicare arnica cream, Antimony 400micrograms/100g ointment, Dermatodoron ointment, Balsamicum ointment, Cinnabar 20x / Pyrites 3x homeopathic tablets, Combudoron ointment, Digestodoron 200mg tablets, Frost cream, Rheumadoron ointment, Graphite 30c homeopathic tablets, Teetha homeopathic granules 7g sachets sugar free, Boots Alternatives Teething Pain Relief homeopathic granules 7g sachets, Hepar sulfuris 30c homeopathic tablets, Natrum muriaticum 30c homeopathic tablets, Ignatia amara 30c homeopathic tablets, Kalium phosphoricum 30c homeopathic tablets, Phosphorus 30c homeopathic tablets, Lycopodium clavatum 30c homeopathic tablets, Tea tree oil 4.78% homeopathic cream, Rhus toxicodendron 30c homeopathic tablets, Carbo vegetabilis 30c homeopathic tablets, Euphrasia officinalis 30c homeopathic tablets, Hypericum perforatum 30c homeopathic tablets, Calcarea fluorica 30c homeopathic tablets, Feverfew 6x homeopathic tablets, Vitis compound tablets, Aconitum napellus 30c homeopathic tablets, Argentum nitricum 30c homeopathic tablets, Arsenicum album 30c homeopathic tablets, Arnica montana 30c homeopathic tablets, Thuja occidentalis 30c homeopathic tablets, Bryonia alba 30c homeopathic tablets, Cantharis vesicatoria 30c homeopathic tablets, Belladonna 30c homeopathic tablets, Ferrum phosphoricum 30c homeopathic tablets, Kalium bichromicum 30c homeopathic tablets, Apis mellifica 30c homeopathic tablets, Mixed pollen 30c homeopathic tablets, Ruta graveolens 30c homeopathic tablets, Mercurius solubilis 30c homeopathic tablets, Pulsatilla pratensis 30c homeopathic tablets, Pulsatilla nigricans 30c homeopathic tablets, Nux vomica 30c homeopathic tablets, Sulfur 30c homeopathic tablets, Sepia officinalis 30c homeopathic tablets, Scleron 12x homeopathic tablets, Erysidoron 1 drops, Cough drops, Digestodoron drops, Menodoron drops, Rheumadoron 102A drops, Dulcamara / Lysimachia drops, Weleda foot balm, Calendula Cuts & Grazes skin salve ointment, Copper ointment, Weleda Relaxing oral drops, Weleda Massage Balm with Arnica, Arnica Bumps & Bruises skin salve ointment, Silica 30c homeopathic tablets, Allium cepa 30c homeopathic tablets, Chamomilla 30c homeopathic tablets, Cocculus indicus 30c homeopathic tablets, Hypericum officianalis 30c homeopathic tablets, Ledum palustre 30c homeopathic tablets, Magnesium phosphoricum 30c homeopathic tablets, Passiflora incarnata 30c homeopathic tablets, Gelsemium sempervirens 30c homeopathic tablets, Bach Rescue Remedy spray, Bach Rescue Remedy oral drops, Abnoba Viscum F 200micrograms/1ml solution for injection ampoules, Abnoba Viscum F 20mg/1ml solution for injection ampoules, Abnoba Viscum F 20micrograms/1ml solution for injection ampoules, Abnoba Viscum F 2mg/1ml solution for injection ampoules, Abnoba Viscum M 200micrograms/1ml solution for injection ampoules, Abnoba Viscum M 20mg/1ml solution for injection ampoules, Abnoba Viscum M 20micrograms/1ml solution for injection ampoules, Abnoba Viscum M 2mg/1ml solution for injection ampoules, Abnoba Viscum A 200micrograms/1ml solution for injection ampoules, Abnoba Viscum A 20mg/1ml solution for injection ampoules, Abnoba Viscum A 20micrograms/1ml solution for injection ampoules, Abnoba Viscum A 2mg/1ml solution for injection ampoules, Abnoba Viscum Q 200micrograms/1ml solution for injection ampoules, Abnoba Viscum Q 20mg/1ml solution for injection ampoules, Abnoba Viscum Q 20micrograms/1ml solution for injection ampoules, Abnoba Viscum Q 2mg/1ml solution for injection ampoules, Arnica montana 6c homeopathic pillules Clikpak, Ferrum sidereum 6x homeopathic tablets, Boots Alternatives Calendula Sore Skin Relief cream, Colocynthis 6c homeopathic tablets, Calcarea carbonica 6c homeopathic tablets, Hypercal cream, Drosera rotundifolia 6c homeopathic tablets, Boots Alternatives Arnica Bruise Relief cream, Apatite 6x compound homeopathic tablets, Bidor 1% tablets, Healing 9% cream, Bidor 5% tablets, Coffea arabica 6c homeopathic tablets, Cocculus indicus 6c homeopathic tablets, Burns cream, Coldenza 6c homeopathic tablets, Gelsemium sempervirens 6c homeopathic tablets, Gelsemium sempervirens 6c homeopathic pillules Clikpak, Gelsemium sempervirens 30c homeopathic pillules Clikpak, Gelsemium sempervirens 30c homeopathic pillules, Arnica montana 6x homeopathic tablets, Arsenicum album 30c homeopathic pillules Clikpak, Aconitum napellus 6c homeopathic pillules Clikpak, Arsenicum album 6c homeopathic pillules Clikpak, Aconitum napellus 30c homeopathic pillules Clikpak, Bryonia 6c homeopathic pillules Clikpak, Belladonna 6c homeopathic pillules Clikpak, H+care haemorrhoid relief cream, Noctura homeopathic tablets, Pollenna homeopathic tablets, Laxadoron tablets, Gencydo ointment, Graphites 6c homeopathic tablets, Fragador 200mg tablets, Travella homeopathic tablets, Conchae 5% compound tablets, Hepar sulfuris 6c homeopathic pillules Clikpak, Argentum nitricum 6c homeopathic pillules Clikpak, Graphites 9% homeopathic cream, Hepar sulfuris 6c homeopathic tablets, Ignatia amara 6c homeopathic tablets, Ipecacuanha 6c homeopathic pillules Clikpak, Natrum muriaticum 6c homeopathic tablets, Mercurius solubilis 6c homeopathic pillules Clikpak, Kalium bichromicum 6c homeopathic pillules Clikpak, Natrum muriaticum 30c homeopathic pillules Clikpak, Natrum muriaticum 6c homeopathic pillules Clikpak, Hypericum perforatum 6c homeopathic tablets, Ignatia 6c homeopathic pillules Clikpak, Phosphorus 6c homeopathic tablets, Pulsatilla pratensis 6c homeopathic pillules Clikpak, Kalium phosphoricum 6c homeopathic pillules Clikpak, Ruta graveolens 6c homeopathic pillules Clikpak, Strains 9% homeopathic cream, Kalium phosphoricum 6c homeopathic tablets, Nux vomica 6c homeopathic pillules Clikpak, Nux vomica 6c homeopathic pillules, Nux vomica 30c homeopathic pillules Clikpak, Nux vomica 30c homeopathic pillules, Lycopodium clavatum 6c homeopathic tablets, Sepia officinalis 6c homeopathic pillules Clikpak, Calcarea fluorica 6c homeopathic pillules Clikpak, Lycopodium 6c homeopathic pillules Clikpak, Sepia officinalis 30c homeopathic pillules Clikpak, Sepia officinalis 30c homeopathic pillules, Calcarea fluorica 6c homeopathic tablets, Rhus toxicodendron 9% homeopathic cream, Pulsatilla pratensis 6c homeopathic tablets, Sulfur 6c homeopathic pillules Clikpak, Rhus toxicodendron 6c homeopathic tablets, Rheumatica 6c homeopathic tablets, Chilblains homeopathic cream, Sulfur 30c homeopathic pillules Clikpak, Rhus toxicodendron 6c homeopathic pillules Clikpak, Apis mellifica 6c homeopathic pillules Clikpak, Ruta graveolens 30c homeopathic pillules, Ignatia amara 30c homeopathic pillules, Arnica montana 30c homeopathic pillules, Arnica montana 30c homeopathic pillules Clikpak, Belladonna 30c homeopathic pillules, Apis mellifica 30c homeopathic pillules, Hypericum perforatum 6c homeopathic pillules Clikpak, Cantharis vesicatoria 30c homeopathic pillules, Chamomilla 30c homeopathic pillules, Rhus toxicodendron 30c homeopathic pillules, Rhus toxicodendron 30c homeopathic pillules Clikpak, Euphrasia officinalis 6c homeopathic tablets, Carbo vegetabilis 6c homeopathic tablets, Chamomilla 3x homeopathic granules, Thuja occidentalis 6c homeopathic tablets, Carbo vegetabilis 6c homeopathic pillules Clikpak, Ledum palustre 30c homeopathic pillules, Euphrasia 6c homeopathic pillules Clikpak, Mercurius vivus 30c homeopathic pillules, Thuja occidentalis 6c homeopathic pillules Clikpak, Calcarea phosphorica 6c homeopathic tablets, Calcarea phosphorica 30c homeopathic tablets, Pulsatilla pratensis 30c homeopathic pillules, Pulsatilla pratensis 30c homeopathic pillules Clikpak, Symphytum officinale 6c homeopathic tablets, Aconitum napellus 6c homeopathic tablets, Actaea racemosa 6c homeopathic tablets, Actaea racemosa 30c homeopathic tablets, Argentum nitricum 6c homeopathic tablets, Allium cepa 6c homeopathic tablets, Arsenicum album 6c homeopathic tablets, Arnica montana 6c homeopathic tablets, Cuprum metallicum 6c homeopathic tablets, Bryonia alba 6c homeopathic tablets, Cuprum metallicum 30c homeopathic tablets, Cantharis vesicatoria 6c homeopathic tablets, Cina 6c homeopathic tablets, Urtica urens 6c homeopathic tablets, Hamamelis 6c homeopathic tablets, Belladonna 6c homeopathic tablets, Ferrum phosphoricum 6c homeopathic tablets, Kalium bichromicum 6c homeopathic tablets, Ledum palustre 6c homeopathic tablets, Urtica urens 30c homeopathic tablets, Lachesis muta 6c homeopathic tablets, Apis mellifica 6c homeopathic tablets, Mercurius solubilis 6c homeopathic tablets, Ruta graveolens 6c homeopathic tablets, Phytolacca decandra 6c homeopathic tablets, Nux vomica 6c homeopathic tablets, Sepia officinalis 6c homeopathic tablets, Sulfur 6c homeopathic tablets, Ipecacuanha 6c homeopathic tablets, Ipecacuanha 30c homeopathic tablets, Hamamelis 30c homeopathic tablets, Hypericum perforatum 30c homeopathic pillules, Drosera rotundifolia 30c homeopathic pillules, Ipecacuanha 30c homeopathic pillules, Kalium bichromicum 30c homeopathic pillules, Lachesis muta 30c homeopathic pillules, Lycopodium clavatum 30c homeopathic pillules, Phosphorus 30c homeopathic pillules, Candida albicans 6c homeopathic tablets, Bellis perennis 6c homeopathic tablets, Combudoron lotion, Pyrethrum liquid, Chamomilla 3x homeopathic drops, Hypercal spray, Sootha homeopathic cough syrup, New Era Calc. Fluor. 6x homeopathic tablets, New Era Calc. Phos. 6x homeopathic tablets, New Era Calc. Sulf. 6x homeopathic tablets, New Era Ferr. Phos. 6x homeopathic tablets, New Era Kali. Mur. 6x homeopathic tablets, New Era Kali. Phos. 6x homeopathic tablets, New Era Kali. Sulf. 6x homeopathic tablets, New Era Mag. Phos. 6x homeopathic tablets, New Era Nat. Mur. 6x homeopathic tablets, New Era Nat. Phos. 6x homeopathic tablets, New Era Nat. Sulf. 6x homeopathic tablets, New Era Silica 6x homeopathic tablets, New Era Combination A 6x homeopathic tablets, New Era Combination B 6x homeopathic tablets, New Era Combination C 6x homeopathic tablets, New Era Combination D 6x homeopathic tablets, New Era Combination E 6x homeopathic tablets, New Era Combination F 6x homeopathic tablets, New Era Combination G 6x homeopathic tablets, New Era Combination H 6x homeopathic tablets, New Era Combination I 6x homeopathic tablets, New Era Combination J 6x homeopathic tablets, New Era Combination K 6x homeopathic tablets, New Era Combination L 6x homeopathic tablets, New Era Combination M 6x homeopathic tablets, New Era Combination N 6x homeopathic tablets, New Era Combination P 6x homeopathic tablets, New Era Combination Q 6x homeopathic tablets, New Era Combination R 6x homeopathic tablets, New Era Combination S 6x homeopathic tablets, Silica 6c homeopathic tablets, Silica 6c homeopathic pillules Clikpak, Cinnabar 20x homeopathic tablets, Oopherinum 6c homeopathic pillules, Oopherinum 30c homeopathic pillules, Coffea cruda 30c homeopathic pillules, Oopherinum 6c homeopathic tablets, Oopherinum 30c homeopathic tablets, Colocynthis 30c homeopathic tablets, Oopherinum 6c homeopathic granules, Oopherinum 30c homeopathic granules, Agaricus muscarius 10M homeopathic granules, Oopherinum 6c homeopathic liquid, Oopherinum 30c homeopathic liquid, Iscador M 100micrograms/ml oral drops, Iscador M 10mg/ml oral drops, Iscador M 10micrograms/ml oral drops, Iscador M 1mg/ml oral drops, Iscador M 20mg/ml oral drops, Iscador M 30mg/ml oral drops, Iscador P 100micrograms/ml oral drops, Iscador P 10mg/ml oral drops, Iscador P 10micrograms/ml oral drops, Iscador P 1mg/ml oral drops, Iscador P 20mg/ml oral drops, Iscador P 30mg/ml oral drops, Iscador Qu 100micrograms/ml oral drops, Iscador Qu 10mg/ml oral drops, Iscador Qu 10micrograms/ml oral drops, Iscador Qu 1mg/ml oral drops, Iscador Qu 20mg/ml oral drops, Iscador Qu 30mg/ml oral drops, Iscador M 20mg/1ml solution for injection ampoules, Iscador P 20mg/1ml solution for injection ampoules, Iscador Qu 20mg/1ml solution for injection ampoules, Iscador M 100micrograms/1ml solution for injection ampoules, Iscador M 100nanograms/1ml solution for injection ampoules, Iscador M 10mg/1ml solution for injection ampoules, Iscador M 10micrograms/1ml solution for injection ampoules, Iscador M 1mg/1ml solution for injection ampoules, Iscador M 1micrograms/1ml solution for injection ampoules, Iscador P 100micrograms/1ml solution for injection ampoules, Iscador P 100nanograms/1ml solution for injection ampoules, Iscador P 10mg/1ml solution for injection ampoules, Iscador P 10micrograms/1ml solution for injection ampoules, Iscador P 1mg/1ml solution for injection ampoules, Iscador P 1micrograms/1ml solution for injection ampoules, Iscador Qu 100micrograms/1ml solution for injection ampoules, Iscador Qu 100nanograms/1ml solution for injection ampoules, Iscador Qu 10mg/1ml solution for injection ampoules, Iscador Qu 10micrograms/1ml solution for injection ampoules, Iscador Qu 1mg/1ml solution for injection ampoules, Iscador Qu 1micrograms/1ml solution for injection ampoules, Iscador M c Cu 100micrograms/1ml solution for injection ampoules, Iscador M c Cu 100nanograms/1ml solution for injection ampoules, Iscador M c Cu 10mg/1ml solution for injection ampoules, Iscador M c Cu 10micrograms/1ml solution for injection ampoules, Iscador M c Cu 1mg/1ml solution for injection ampoules, Iscador M c Cu 1micrograms/1ml solution for injection ampoules, Iscador M c Cu 20mg/1ml solution for injection ampoules, Iscador Qu c Cu 100micrograms/1ml solution for injection ampoules, Iscador Qu c Cu 100nanograms/1ml solution for injection ampoules, Iscador Qu c Cu 10mg/1ml solution for injection ampoules, Iscador Qu c Cu 10micrograms/1ml solution for injection ampoules, Iscador Qu c Cu 1mg/1ml solution for injection ampoules, Iscador Qu c Cu 1micrograms/1ml solution for injection ampoules, Iscador Qu c Cu 20mg/1ml solution for injection ampoules, Iscador Qu c Hg 100micrograms/1ml solution for injection ampoules, Iscador Qu c Hg 100nanograms/1ml solution for injection ampoules, Iscador Qu c Hg 10mg/1ml solution for injection ampoules, Iscador Qu c Hg 10micrograms/1ml solution for injection ampoules, Iscador Qu c Hg 1mg/1ml solution for injection ampoules, Iscador Qu c Hg 1micrograms/1ml solution for injection ampoules, Iscador Qu c Hg 20mg/1ml solution for injection ampoules, Iscador Qu c Arg 100micrograms/1ml solution for injection ampoules, Iscador Qu c Arg 100nanograms/1ml solution for injection ampoules, Iscador Qu c Arg 10mg/1ml solution for injection ampoules, Iscador Qu c Arg 10micrograms/1ml solution for injection ampoules, Iscador Qu c Arg 1mg/1ml solution for injection ampoules, Iscador Qu c Arg 1micrograms/1ml solution for injection ampoules, Iscador Qu c Arg 20mg/1ml solution for injection ampoules, Iscador P c Hg 100micrograms/1ml solution for injection ampoules, Iscador P c Hg 100nanograms/1ml solution for injection ampoules, Iscador P c Hg 10mg/1ml solution for injection ampoules, Iscador P c Hg 10micrograms/1ml solution for injection ampoules, Iscador P c Hg 1mg/1ml solution for injection ampoules, Iscador P c Hg 1micrograms/1ml solution for injection ampoules, Iscador P c Hg 20mg/1ml solution for injection ampoules, Iscador M c Arg 100micrograms/1ml solution for injection ampoules, Iscador M c Arg 100nanograms/1ml solution for injection ampoules, Iscador M c Arg 10mg/1ml solution for injection ampoules, Iscador M c Arg 10micrograms/1ml solution for injection ampoules, Iscador M c Arg 1mg/1ml solution for injection ampoules, Iscador M c Arg 1micrograms/1ml solution for injection ampoules, Iscador M c Arg 20mg/1ml solution for injection ampoules, Iscador M c Hg 100micrograms/1ml solution for injection ampoules, Iscador M c Hg 100nanograms/1ml solution for injection ampoules, Iscador M c Hg 10mg/1ml solution for injection ampoules, Iscador M c Hg 10micrograms/1ml solution for injection ampoules, Iscador M c Hg 1mg/1ml solution for injection ampoules, Iscador M c Hg 1micrograms/1ml solution for injection ampoules, Iscador M c Hg 20mg/1ml solution for injection ampoules, Iscador M 5mg/1ml Special solution for injection ampoules, Iscador Qu 5mg/1ml Special solution for injection ampoules, Iscador Qu Series 0 solution for injection ampoules, Iscador Qu Series 1 solution for injection ampoules, Iscador Qu Series 2 solution for injection ampoules, Iscador Qu Series 3 solution for injection ampoules"
1,0407010Q0AAAAAA,1,16,Co-proxamol 32.5mg/325mg tablets,Co-proxamol 32.5mg/325mg tablets
2,0601021H0AAAAAA,1,15,Glibenclamide 2.5mg tablets,Glibenclamide 2.5mg tablets
3,0601021H0AAABAB,1,15,Glibenclamide 5mg tablets,Glibenclamide 5mg tablets
4,0410030C0AAAFAF,1,10,Methadone 1mg/ml oral solution colour free sugar free,Methadone 1mg/ml oral solution sugar free
5,0410030C0AAAAAA,1,9,Methadone 1mg/ml oral solution colour free,Methadone 1mg/ml oral solution
6,0401010ADAACZCZ,1,8,Melatonin 1mg/ml oral solution alcohol free sugar free,Melatonin 1mg/ml oral solution sugar free
7,0503021E0AAACAC,1,8,Famciclovir 750mg tablets,Famciclovir 750mg tablets
8,0407020K0AAFPFP,1,7,Diamorphine hydrochloride powder,Diamorphine hydrochloride powder
9,0501120Q0AAAAAA,1,7,Norfloxacin 400mg tablets,Norfloxacin 400mg tablets
